ID,brand,name,category,description,ingredients,price_rsd,shade
10001,Catrice,Catrice Bb cream,bb cream,Infused with nourishing ingredients for radiant look. Intense color payoff with easy blendability.,"niacinamide, vitamin e, hyaluronic acid, glycerin, aloe vera extract",1556,
10002,Charlotte Tilbury,Charlotte Tilbury Bb cream,bb cream,Intense color payoff with easy blendability. Long-lasting formula with smooth application.,"cetyl alcohol, vitamin e, titanium dioxide, glycerin, niacinamide",8784,
10003,Fenty Beauty,Fenty Beauty Bb cream,bb cream,Infused with nourishing ingredients for radiant look. High coverage and lightweight feel.,"cetyl alcohol, tocopherol, mica, titanium dioxide, shea butter",5825,
10004,Dior,Dior Bb cream,bb cream,"Infused with nourishing ingredients for radiant look. Soft, creamy formula suitable for all skin types.","iron oxides, glycerin, aloe vera extract, titanium dioxide, mica",5592,
10005,Rimmel,Rimmel Bb cream,bb cream,Intense color payoff with easy blendability. Infused with nourishing ingredients for radiant look.,"panthenol, niacinamide, cetyl alcohol, hyaluronic acid, dimethicone",4886,
10006,Sephora Collection,Sephora Collection Bb cream,bb cream,Matte effect that lasts all day. Long-lasting formula with smooth application.,"titanium dioxide, water, hyaluronic acid, silica, tocopherol",5161,
10007,Cosmetica,Velvet Touch Lipstick,bb cream,Matte effect that lasts all day. Long-lasting formula with smooth application.,"silica, panthenol, titanium dioxide, glycerin, niacinamide",2990,
10008,BeautyPro,Radiant Glow Blush,bb cream,Matte effect that lasts all day. High coverage and lightweight feel.,"aloe vera extract, titanium dioxide, shea butter, panthenol, dimethicone",6687,
10009,Chanel,Chanel Bb cream,bb cream,Matte effect that lasts all day. Infused with nourishing ingredients for radiant look.,"shea butter, panthenol, aloe vera extract, niacinamide, glycerin",406,
10010,Loreal,Loreal Bb cream,bb cream,Infused with nourishing ingredients for radiant look. Long-lasting formula with smooth application.,"cetearyl alcohol, mica, titanium dioxide, water, shea butter",6253,
10011,Tom Ford,Tom Ford Bb cream,bb cream,Intense color payoff with easy blendability. Long-lasting formula with smooth application.,"panthenol, dimethicone, cetearyl alcohol, glycerin, aloe vera extract",5707,
10012,LuxeSkin,PureMatte Foundation,bb cream,Long-lasting formula with smooth application. High coverage and lightweight feel.,"cetearyl alcohol, dimethicone, aloe vera extract, silica, water",4747,
10013,Glamora,SilkySmooth Mascara,bb cream,Intense color payoff with easy blendability. Buildable coverage and comfortable wear all day.,"glycerin, titanium dioxide, dimethicone, iron oxides, shea butter",3587,
10014,ColorMuse,SoftBlend Eyeshadow,bb cream,"Soft, creamy formula suitable for all skin types. Buildable coverage and comfortable wear all day.","panthenol, cetearyl alcohol, tocopherol, iron oxides, hyaluronic acid",6523,
10015,SkinTone,HydraWear Concealer,bb cream,Intense color payoff with easy blendability. Moisturizing texture with natural finish.,"cetearyl alcohol, glycerin, dimethicone, panthenol, tocopherol",5211,
10016,The Balm,The Balm Bb cream,bb cream,"Soft, creamy formula suitable for all skin types. Matte effect that lasts all day.","tocopherol, dimethicone, cetearyl alcohol, glycerin, vitamin e",2460,
10017,Maybelline,Maybelline Bb cream,bb cream,"Moisturizing texture with natural finish. Soft, creamy formula suitable for all skin types.","shea butter, mica, titanium dioxide, aloe vera extract, dimethicone",6263,
10018,FaceCraft,ShineLess Powder,bb cream,"Soft, creamy formula suitable for all skin types. Infused with nourishing ingredients for radiant look.","vitamin e, aloe vera extract, dimethicone, niacinamide, mica",4679,
10019,Clinique,Clinique Bb cream,bb cream,Intense color payoff with easy blendability. Moisturizing texture with natural finish.,"shea butter, mica, iron oxides, aloe vera extract, niacinamide",7142,
10020,AuraBeauty,CloudTint Cream Blush,bb cream,Moisturizing texture with natural finish. Long-lasting formula with smooth application.,"tocopherol, vitamin e, mica, dimethicone, iron oxides",592,
10021,ProLuxe,LashLift Mascara,bb cream,"Intense color payoff with easy blendability. Soft, creamy formula suitable for all skin types.","tocopherol, cetyl alcohol, glycerin, panthenol, silica",5380,
10022,MakeUpArt,NudeBloom Lip Gloss,bb cream,Long-lasting formula with smooth application. Infused with nourishing ingredients for radiant look.,"vitamin e, glycerin, iron oxides, tocopherol, mica",8883,
10023,Essence,Essence Bb cream,bb cream,Matte effect that lasts all day. Intense color payoff with easy blendability.,"iron oxides, cetyl alcohol, cetearyl alcohol, panthenol, dimethicone",3705,
10024,Cosmetica,Velvet Touch Lipstick,bb cream,Moisturizing texture with natural finish. Infused with nourishing ingredients for radiant look.,"mica, niacinamide, cetearyl alcohol, cetyl alcohol, shea butter",1218,
10025,NARS,NARS Bb cream,bb cream,Moisturizing texture with natural finish. High coverage and lightweight feel.,"cetearyl alcohol, iron oxides, glycerin, mica, dimethicone",3091,
10026,Estee Lauder,Estee Lauder Bb cream,bb cream,Long-lasting formula with smooth application. High coverage and lightweight feel.,"glycerin, aloe vera extract, vitamin e, dimethicone, shea butter",3867,
10027,BeautyPro,Radiant Glow Blush,bb cream,Infused with nourishing ingredients for radiant look. Long-lasting formula with smooth application.,"cetyl alcohol, aloe vera extract, glycerin, cetearyl alcohol, vitamin e",4689,
10028,LuxeSkin,PureMatte Foundation,bb cream,"Soft, creamy formula suitable for all skin types. Buildable coverage and comfortable wear all day.","mica, vitamin e, glycerin, niacinamide, tocopherol",4829,
10029,Glamora,SilkySmooth Mascara,bb cream,Buildable coverage and comfortable wear all day. Long-lasting formula with smooth application.,"iron oxides, panthenol, tocopherol, glycerin, shea butter",7668,
10030,Aura,Aura Bb cream,bb cream,Long-lasting formula with smooth application. Buildable coverage and comfortable wear all day.,"mica, hyaluronic acid, silica, iron oxides, water",6535,
10031,ColorMuse,SoftBlend Eyeshadow,bb cream,Matte effect that lasts all day. Infused with nourishing ingredients for radiant look.,"silica, iron oxides, dimethicone, niacinamide, cetyl alcohol",5671,
10032,Revlon,Revlon Bb cream,bb cream,Moisturizing texture with natural finish. Buildable coverage and comfortable wear all day.,"hyaluronic acid, vitamin e, cetyl alcohol, titanium dioxide, tocopherol",3642,
10033,SkinTone,HydraWear Concealer,bb cream,Long-lasting formula with smooth application. Infused with nourishing ingredients for radiant look.,"cetyl alcohol, cetearyl alcohol, mica, iron oxides, vitamin e",2339,
10034,FaceCraft,ShineLess Powder,bb cream,"Soft, creamy formula suitable for all skin types. Moisturizing texture with natural finish.","vitamin e, titanium dioxide, silica, tocopherol, mica",3445,
10035,AuraBeauty,CloudTint Cream Blush,bb cream,Intense color payoff with easy blendability. Infused with nourishing ingredients for radiant look.,"tocopherol, shea butter, water, cetyl alcohol, silica",2012,
10036,ProLuxe,LashLift Mascara,bb cream,Moisturizing texture with natural finish. Buildable coverage and comfortable wear all day.,"vitamin e, iron oxides, panthenol, niacinamide, glycerin",302,
10037,MakeUpArt,NudeBloom Lip Gloss,bb cream,"Soft, creamy formula suitable for all skin types. Matte effect that lasts all day.","cetyl alcohol, vitamin e, water, glycerin, iron oxides",5918,
10038,Cosmetica,Velvet Touch Lipstick,bb cream,High coverage and lightweight feel. Matte effect that lasts all day.,"water, cetearyl alcohol, vitamin e, titanium dioxide, hyaluronic acid",2024,
10039,BeautyPro,Radiant Glow Blush,bb cream,Matte effect that lasts all day. Buildable coverage and comfortable wear all day.,"cetearyl alcohol, cetyl alcohol, iron oxides, aloe vera extract, glycerin",7537,
10040,LuxeSkin,PureMatte Foundation,bb cream,Moisturizing texture with natural finish. Matte effect that lasts all day.,"cetearyl alcohol, tocopherol, niacinamide, dimethicone, mica",2930,
10041,Revolution,Revolution Bb cream,bb cream,Matte effect that lasts all day. Moisturizing texture with natural finish.,"mica, aloe vera extract, shea butter, dimethicone, panthenol",564,
10042,YSL,YSL Bb cream,bb cream,Long-lasting formula with smooth application. Infused with nourishing ingredients for radiant look.,"silica, panthenol, cetyl alcohol, cetearyl alcohol, dimethicone",5694,
10043,NYX,NYX Bb cream,bb cream,Long-lasting formula with smooth application. Matte effect that lasts all day.,"hyaluronic acid, vitamin e, water, mica, glycerin",8221,
10044,Huda Beauty,Huda Beauty Bb cream,bb cream,High coverage and lightweight feel. Matte effect that lasts all day.,"cetyl alcohol, iron oxides, water, hyaluronic acid, niacinamide",651,
10045,Glamora,SilkySmooth Mascara,bb cream,Moisturizing texture with natural finish. Infused with nourishing ingredients for radiant look.,"mica, aloe vera extract, cetearyl alcohol, niacinamide, vitamin e",8382,
10046,ColorMuse,SoftBlend Eyeshadow,bb cream,Long-lasting formula with smooth application. Intense color payoff with easy blendability.,"hyaluronic acid, cetyl alcohol, tocopherol, vitamin e, dimethicone",564,
10047,SkinTone,HydraWear Concealer,bb cream,Infused with nourishing ingredients for radiant look. Matte effect that lasts all day.,"cetyl alcohol, tocopherol, cetearyl alcohol, iron oxides, aloe vera extract",1350,
10048,FaceCraft,ShineLess Powder,bb cream,Intense color payoff with easy blendability. Infused with nourishing ingredients for radiant look.,"water, silica, cetyl alcohol, glycerin, hyaluronic acid",5432,
10049,AuraBeauty,CloudTint Cream Blush,bb cream,Infused with nourishing ingredients for radiant look. Moisturizing texture with natural finish.,"vitamin e, aloe vera extract, titanium dioxide, niacinamide, cetyl alcohol",6108,
10050,ProLuxe,LashLift Mascara,bb cream,Buildable coverage and comfortable wear all day. Infused with nourishing ingredients for radiant look.,"vitamin e, titanium dioxide, niacinamide, mica, iron oxides",7500,
10051,MakeUpArt,NudeBloom Lip Gloss,bb cream,Intense color payoff with easy blendability. Buildable coverage and comfortable wear all day.,"water, cetyl alcohol, titanium dioxide, shea butter, silica",3520,
10052,Cosmetica,Velvet Touch Lipstick,bb cream,High coverage and lightweight feel. Infused with nourishing ingredients for radiant look.,"panthenol, shea butter, glycerin, aloe vera extract, titanium dioxide",3337,
10053,BeautyPro,Radiant Glow Blush,bb cream,Moisturizing texture with natural finish. Infused with nourishing ingredients for radiant look.,"dimethicone, iron oxides, glycerin, water, vitamin e",3166,
