ID,brand,name,category,description,ingredients,price_rsd,shade
1,Hermès Beauty,Sheer Blush - No. 94,blush,Sheer Blush - No. 94 by Hermès Beauty — premium blush formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"titanium dioxide, iron oxides, glycerin, talc, aloe barbadensis leaf juice, camellia sinensis leaf extract",9044,Peach
2,Yves Saint Laurent,Glow Blush,blush,Glow Blush by Yves Saint Laurent — premium blush formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"kaolin, silica, aloe barbadensis leaf juice, camellia sinensis leaf extract",47128,Brick
3,Chanel,Ultra Blush - Collection,blush,Ultra Blush - Collection by Chanel — premium blush formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"kaolin, mica, phenoxyethanol, silica, squalane, titanium dioxide, camellia sinensis leaf extract, talc, butyrospermum parkii (shea) butter",5818,Warm Sand
4,Sisley,Creamy Blush - Exclusive,blush,Creamy Blush - Exclusive by Sisley — premium blush formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"hyaluronic acid, fragrance (parfum), iron oxides, dimethicone, octyldodecanol, cyclopentasiloxane, kaempferia extract, titanium dioxide",34226,Fuchsia
5,Marc Jacobs,Creamy Blush,blush,Creamy Blush by Marc Jacobs — premium blush formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"kaempferia extract, talc, squalane, titanium dioxide",5726,Deep Cocoa
6,Estée Lauder,Silk Blush,blush,Silk Blush by Estée Lauder — premium blush formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"caprylic/capric triglyceride, aloe barbadensis leaf juice, butyrospermum parkii (shea) butter, camellia sinensis leaf extract, iron oxides, glycerin",5243,Sand
7,Bobbi Brown,Hydra Blush,blush,Hydra Blush by Bobbi Brown — premium blush formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"squalane, ethylhexylglycerin, kaolin, mica",26256,Gold
8,Clé de Peau,Radiant Blush,blush,Radiant Blush by Clé de Peau — premium blush formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"fragrance (parfum), kaolin, hyaluronic acid, ethylhexylglycerin, aloe barbadensis leaf juice, iron oxides, squalane, phenoxyethanol, caprylic/capric triglyceride, cetearyl alcohol",12175,Porcelain
9,By Terry,Sheer Blush,blush,Sheer Blush by By Terry — premium blush formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"octyldodecanol, silica, cetearyl alcohol, kaempferia extract, squalane, dimethicone, caprylic/capric triglyceride, glycerin, phenoxyethanol",34366,Ivory
10,Armani,Radiant Blush,blush,Radiant Blush by Armani — premium blush formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"titanium dioxide, squalane, talc, fragrance (parfum)",5532,Toffee
11,Laura Mercier,Pure Blush,blush,Pure Blush by Laura Mercier — premium blush formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"squalane, ethylhexylglycerin, octyldodecanol, talc, caprylic/capric triglyceride, fragrance (parfum), phenoxyethanol",49112,Crimson
12,Pat McGrath,Radiant Blush,blush,Radiant Blush by Pat McGrath — premium blush formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"talc, iron oxides, phenoxyethanol, kaolin, aloe barbadensis leaf juice, squalane, mica, kaempferia extract, octyldodecanol",20029,Peach
13,Givenchy,Weightless Blush - Signature,blush,Weightless Blush - Signature by Givenchy — premium blush formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"ethylhexylglycerin, mica, squalane, titanium dioxide, hyaluronic acid, silica",17931,Beige
14,Charlotte Tilbury,Ultra Blush - Exclusive,blush,Ultra Blush - Exclusive by Charlotte Tilbury — premium blush formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"silica, kaolin, mica, octyldodecanol, ethylhexylglycerin, cyclopentasiloxane, fragrance (parfum), aloe barbadensis leaf juice, kaempferia extract",5071,Porcelain
15,Armani,Ultra Blush,blush,Ultra Blush by Armani — premium blush formulated for long wear and luxurious finish. Designed to blend seamlessly and provide buildable coverage.,"squalane, kaolin, phenoxyethanol, mica, fragrance (parfum), octyldodecanol, cyclopentasiloxane, cetearyl alcohol, talc",21222,Deep Cocoa
